"collaborator_name","affiliation","country","paper_id","paper_title","year","citations","doi"
"Quinten Eggerickx","Ghent University","Belgium","P010","Almost Linear Decoder for Optimal Geometrically Local Quantum Codes","2025","","https://doi.org/10.1103/sxdx-qbcz"
"Jihao Fan","Southeast University","China","P006","Entanglement-assisted concatenated quantum codes","2022","","https://doi.org/10.1073/pnas.2202235119"
"Kristiaan De Greve","Ghent University","Belgium","P010","Almost Linear Decoder for Optimal Geometrically Local Quantum Codes","2025","","https://doi.org/10.1103/sxdx-qbcz"
"Michael J. Gullans","University of Maryland / QuICS","USA","P012","Single-Shot Universality in Quantum LDPC Codes via Code-Switching","2026","",""
"Yifan Hong","University of Maryland / QuICS","USA","P012","Single-Shot Universality in Quantum LDPC Codes via Code-Switching","2026","",""
"Jun Li","Southeast University","China","P006","Entanglement-assisted concatenated quantum codes","2022","","https://doi.org/10.1073/pnas.2202235119"
"Ting-Chun Lin","Hon Hai Quantum Computing Research Center","Taiwan","P007","Good quantum LDPC codes with linear time decoder from lossless expanders","2022","",""
"Ting-Chun Lin","Hon Hai Quantum Computing Research Center","Taiwan","P010","Almost Linear Decoder for Optimal Geometrically Local Quantum Codes","2025","","https://doi.org/10.1103/sxdx-qbcz"
"Ting-Chun Lin","Hon Hai Quantum Computing Research Center","Taiwan","P012","Single-Shot Universality in Quantum LDPC Codes via Code-Switching","2026","",""
"Ting-Chun Lin","Hon Hai Quantum Computing Research Center","Taiwan","P013","Local testability of distance-balanced quantum codes","2024","","https://doi.org/10.1038/s41534-024-00908-8"
"Ting-Chun Lin","Hon Hai Quantum Computing Research Center","Taiwan","P014","Tradeoff Constructions for Quantum Locally Testable Codes","2025","","https://doi.org/10.1109/TIT.2024.3503500"
"H. Vincent Poor","Princeton University","USA","P006","Entanglement-assisted concatenated quantum codes","2022","","https://doi.org/10.1073/pnas.2202235119"
"Shi Jie Samuel Tan","Hon Hai Quantum Computing Research Center","Taiwan","P012","Single-Shot Universality in Quantum LDPC Codes via Code-Switching","2026","",""
"Adam Wills","Hon Hai Quantum Computing Research Center","Taiwan","P010","Almost Linear Decoder for Optimal Geometrically Local Quantum Codes","2025","","https://doi.org/10.1103/sxdx-qbcz"
"Adam Wills","Hon Hai Quantum Computing Research Center","Taiwan","P011","Constant-Overhead Magic State Distillation","2025","49","https://doi.org/10.1038/s41567-025-03026-0"
"Adam Wills","Hon Hai Quantum Computing Research Center","Taiwan","P013","Local testability of distance-balanced quantum codes","2024","","https://doi.org/10.1038/s41534-024-00908-8"
"Adam Wills","Hon Hai Quantum Computing Research Center","Taiwan","P014","Tradeoff Constructions for Quantum Locally Testable Codes","2025","","https://doi.org/10.1109/TIT.2024.3503500"
"Hayata Yamasaki","University of Tokyo","Japan","P011","Constant-Overhead Magic State Distillation","2025","49","https://doi.org/10.1038/s41567-025-03026-0"
"Yongbin Zhou","Southeast University","China","P006","Entanglement-assisted concatenated quantum codes","2022","","https://doi.org/10.1073/pnas.2202235119"
