"collaborator_name","affiliation","country","paper_id","paper_title","year","citations","doi"
"A Aliper","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"A Aspuru-Guzik","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"Y Cao","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"PY Chen","","","P003","TensorHyper-VQC: a tensor-train-guided hypernetwork for robust and scalable variational quantum computing","2026","","https://www.nature.com/articles/s41534-025-01157-z"
"PY Chen","","","P006","Random-Matrix-Induced Simplicity Bias in Over-parameterized Variational Quantum Circuits","2026","",""
"PY Chen","","","P009","Continual Quantum Architecture Search with Tensor-Train Encoding: Theory and Applications to Signal Processing","2026","",""
"WY Chiang","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"G Chiribella","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"Y Du","","","P001","Expressive power of parametrized quantum circuits","2020","515","https://doi.org/10.1103/PhysRevResearch.2.033125"
"Y Du","","","P002","Learnability of quantum neural networks","2021","160","https://doi.org/10.1103/PRXQuantum.2.040337"
"Y Du","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"Y Du","","","P008","Quantum circuit architecture search for variational quantum algorithms","2022","263","https://doi.org/10.1038/s41534-022-00570-y"
"Y Du","","","P010","Efficient Learning for Linear Properties of Bounded-Gate Quantum Circuits","2025","","https://doi.org/10.1038/s41467-025-59198-z"
"Y Du","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"Y Du","","","P012","Problem-Dependent Power of Quantum Neural Networks on Multi-Class Classification","2023","","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.131.140601"
"Y Du","","","P014","Multimodal deep representation learning for quantum cross-platform verification","2024","","https://doi.org/10.1103/PhysRevLett.133.130601"
"Y Du","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"Y Du","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"Y Du","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"Y Du","","","P018","Quantum noise protects quantum classifiers against adversaries","2021","190","https://doi.org/10.1103/PhysRevResearch.3.023153"
"Y Du","","","P019","A Grover-search based quantum learning scheme for classification","2021","","https://doi.org/10.1088/1367-2630/abdefa"
"Y Du","","","P020","AQER: a scalable and efficient data loader for digital quantum computers","2026","",""
"J Eisert","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"W Gao","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"M Gong","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"N Guo","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"Z He","","","P014","Multimodal deep representation learning for quantum cross-platform verification","2024","","https://doi.org/10.1103/PhysRevLett.133.130601"
"JY Hsiao","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"MJ Hu","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"HL Huang","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"T Huang","","","P008","Quantum circuit architecture search for variational quantum algorithms","2022","263","https://doi.org/10.1038/s41534-022-00570-y"
"W Huang","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"Y Jin","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"PY Kao","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"L Li","","","P009","Continual Quantum Architecture Search with Tensor-Train Encoding: Theory and Applications to Signal Processing","2026","",""
"S Li","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"X Li","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"Z Li","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"F Liang","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"J Lin","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"YC Lin","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"K Linghu","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"DE Liu","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"L Liu","","","P004","Toward Trainability of Deep Quantum Neural Networks","2022","",""
"L Liu","","","P005","Escaping from the barren plateau via gaussian initializations in deep variational quantum circuits","2022","151",""
"N Liu","","","P018","Quantum noise protects quantum classifiers against adversaries","2021","190","https://doi.org/10.1103/PhysRevResearch.3.023153"
"Q Liu","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"T Liu","","","P001","Expressive power of parametrized quantum circuits","2020","515","https://doi.org/10.1103/PhysRevResearch.2.033125"
"T Liu","","","P002","Learnability of quantum neural networks","2021","160","https://doi.org/10.1103/PRXQuantum.2.040337"
"T Liu","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"T Liu","","","P018","Quantum noise protects quantum classifiers against adversaries","2021","190","https://doi.org/10.1103/PhysRevResearch.3.023153"
"T Liu","","","P019","A Grover-search based quantum learning scheme for classification","2021","","https://doi.org/10.1088/1367-2630/abdefa"
"T Ma","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"J Qi","","","P003","TensorHyper-VQC: a tensor-train-guided hypernetwork for robust and scalable variational quantum computing","2026","","https://www.nature.com/articles/s41534-025-01157-z"
"J Qi","","","P006","Random-Matrix-Induced Simplicity Bias in Over-parameterized Variational Quantum Circuits","2026","",""
"J Qi","","","P009","Continual Quantum Architecture Search with Tensor-Train Encoding: Theory and Applications to Signal Processing","2026","",""
"Y Qian","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"Y Qian","","","P014","Multimodal deep representation learning for quantum cross-platform verification","2024","","https://doi.org/10.1103/PhysRevLett.133.130601"
"Y Qian","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"P Rebentrost","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"P Rebentrost","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"F Ren","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"BC Sanders","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"X Sun","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"D Tao","","","P001","Expressive power of parametrized quantum circuits","2020","515","https://doi.org/10.1103/PhysRevResearch.2.033125"
"D Tao","","","P002","Learnability of quantum neural networks","2021","160","https://doi.org/10.1103/PRXQuantum.2.040337"
"D Tao","","","P004","Toward Trainability of Deep Quantum Neural Networks","2022","",""
"D Tao","","","P005","Escaping from the barren plateau via gaussian initializations in deep variational quantum circuits","2022","151",""
"D Tao","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"D Tao","","","P008","Quantum circuit architecture search for variational quantum algorithms","2022","263","https://doi.org/10.1038/s41534-022-00570-y"
"D Tao","","","P010","Efficient Learning for Linear Properties of Bounded-Gate Quantum Circuits","2025","","https://doi.org/10.1038/s41467-025-59198-z"
"D Tao","","","P012","Problem-Dependent Power of Quantum Neural Networks on Multi-Class Classification","2023","","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.131.140601"
"D Tao","","","P014","Multimodal deep representation learning for quantum cross-platform verification","2024","","https://doi.org/10.1103/PhysRevLett.133.130601"
"D Tao","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"D Tao","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"D Tao","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"D Tao","","","P018","Quantum noise protects quantum classifiers against adversaries","2021","190","https://doi.org/10.1103/PhysRevResearch.3.023153"
"D Tao","","","P019","A Grover-search based quantum learning scheme for classification","2021","","https://doi.org/10.1088/1367-2630/abdefa"
"D Tao","","","P020","AQER: a scalable and efficient data loader for digital quantum computers","2026","",""
"J Tejedor","","","P009","Continual Quantum Architecture Search with Tensor-Train Encoding: Theory and Applications to Signal Processing","2026","",""
"J Tian","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"C Wang","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"C Wang","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"R Wang","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"X Wang","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"X Wang","","","P020","AQER: a scalable and efficient data loader for digital quantum computers","2026","",""
"X Wu","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"Y Wu","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"YD Wu","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"H Xu","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"CHH Yang","","","P003","TensorHyper-VQC: a tensor-train-guided hypernetwork for robust and scalable variational quantum computing","2026","","https://www.nature.com/articles/s41534-025-01157-z"
"CHH Yang","","","P006","Random-Matrix-Induced Simplicity Bias in Over-parameterized Variational Quantum Circuits","2026","",""
"CHH Yang","","","P009","Continual Quantum Architecture Search with Tensor-Train Encoding: Theory and Applications to Signal Processing","2026","",""
"W Yang","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"Y Yang","","","P012","Problem-Dependent Power of Quantum Neural Networks on Multi-Class Classification","2023","","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.131.140601"
"YC Yang","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"W Yi","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"S You","","","P002","Learnability of quantum neural networks","2021","160","https://doi.org/10.1103/PRXQuantum.2.040337"
"S You","","","P008","Quantum circuit architecture search for variational quantum algorithms","2022","263","https://doi.org/10.1038/s41534-022-00570-y"
"H Yu","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"Z Yu","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"J Zhang","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"K Zhang","","","P004","Toward Trainability of Deep Quantum Neural Networks","2022","",""
"K Zhang","","","P005","Escaping from the barren plateau via gaussian initializations in deep variational quantum circuits","2022","151",""
"K Zhang","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"K Zhang","","","P017","A Gentle Introduction to Quantum Machine Learning","2025","3",""
"K Zhang","","","P020","AQER: a scalable and efficient data loader for digital quantum computers","2026","",""
"YH Zhang","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
"P Zhao","","","P007","Quantum circuit architecture search on a superconducting processor","2024","","https://doi.org/10.3390/e26121025"
"S Zhao","","","P016","Recent Advances for Quantum Neural Networks in Generative Learning","2023","139","https://doi.org/10.1109/TPAMI.2023.3272029"
"Y Zhao","","","P011","Experimental quantum generative adversarial networks for image generation","2021","339","https://doi.org/10.1103/PhysRevApplied.16.024051"
"A Zhavoronkov","","","P013","Exploring the Advantages of Quantum Generative Adversarial Networks in Generative Chemistry","2023","113","https://doi.org/10.1021/acs.jcim.3c00562"
"Y Zhu","","","P015","Artificial intelligence for representing and characterizing quantum systems","2025","",""
