"collaborator_name","affiliation","country","paper_id","paper_title","year","citations","doi"
"Adrian Auer","IQM (Germany)","Germany","P004","Operational Markovianization in Randomized Benchmarking","2024","","https://doi.org/10.1088/2058-9565/ad3f44"
"Pedro Figueroa-Romero","Hon Hai Quantum Computing Research Center","Taiwan","P001","Machine Learning of Average Non-Markovianity from Randomized Benchmarking","2022","",""
"Pedro Figueroa-Romero","Hon Hai Quantum Computing Research Center","Taiwan","P002","Towards a general framework of Randomized Benchmarking incorporating non-Markovian Noise","2022","","https://doi.org/10.22331/q-2022-12-01-868"
"Pedro Figueroa-Romero","Hon Hai Quantum Computing Research Center","Taiwan","P003","Randomised benchmarking for non-Markovian noise","2021","","https://doi.org/10.1103/PRXQuantum.2.040351"
"Pedro Figueroa-Romero","Hon Hai Quantum Computing Research Center","Taiwan","P004","Operational Markovianization in Randomized Benchmarking","2024","","https://doi.org/10.1088/2058-9565/ad3f44"
"Kavan Modi","Monash University","Australia","P002","Towards a general framework of Randomized Benchmarking incorporating non-Markovian Noise","2022","","https://doi.org/10.22331/q-2022-12-01-868"
"Kavan Modi","Monash University","Australia","P003","Randomised benchmarking for non-Markovian noise","2021","","https://doi.org/10.1103/PRXQuantum.2.040351"
"Kavan Modi","Monash University","Australia","P004","Operational Markovianization in Randomized Benchmarking","2024","","https://doi.org/10.1088/2058-9565/ad3f44"
"Miha Papič","IQM (Germany)","Germany","P004","Operational Markovianization in Randomized Benchmarking","2024","","https://doi.org/10.1088/2058-9565/ad3f44"
"Thomas M. Stace","University of Queensland","Australia","P003","Randomised benchmarking for non-Markovian noise","2021","","https://doi.org/10.1103/PRXQuantum.2.040351"
"Inés de Vega","IQM (Germany)","Germany","P004","Operational Markovianization in Randomized Benchmarking","2024","","https://doi.org/10.1088/2058-9565/ad3f44"
"Shih-Xian Yang","Hon Hai Quantum Computing Research Center","Taiwan","P001","Machine Learning of Average Non-Markovianity from Randomized Benchmarking","2022","",""
