"collaborator_name","affiliation","country","paper_id","paper_title","year","citations","doi"
"Fernando G. S. L. Brandao","ETH Zürich","Switzerland","P016","A smooth entropy approach to quantum hypothesis testing and the classical capacity of quantum channels","2013","","https://doi.org/10.1109/TIT.2013.2282160"
"Francesco Buscemi","Nagoya University","Japan","P006","The information-theoretic costs of simulating quantum measurements","2012","","https://doi.org/10.1088/1751-8113/45/45/453001"
"Hao-Chung Cheng","National Taiwan University","Taiwan","P012","Non-Asymptotic Classical Data Compression with Quantum Side Information","2021","34","https://doi.org/10.1063/1.4798396"
"Hao-Chung Cheng","National Taiwan University","Taiwan","P015","Moderate Deviation Analysis for Classical-Quantum Channels and Quantum Hypothesis Testing","2018","","https://doi.org/10.1109/TIT.2017.2781254"
"Hao-Chung Cheng","National Taiwan University","Taiwan","P018","Concavity of the Auxiliary Function for Classical-Quantum Channels","2016","","https://doi.org/10.1109/TIT.2016.2598835"
"Hao-Chung Cheng","National Taiwan University","Taiwan","P019","Properties of Noncommutative Renyi and Augustin Information","2022","","https://link.springer.com/article/10.1007/s00220-022-04319-8"
"Hao-Chung Cheng","National Taiwan University","Taiwan","P022","Quantum Sphere-Packing Bounds with Polynomial Prefactors","2019","","https://doi.org/10.1109/TIT.2019.2891347"
"Eric Chitambar","University of Illinois Chicago","USA","P003","The Private and Public Correlation Cost of Three Random Variables With Collaboration","2016","","https://doi.org/10.1109/TIT.2016.2530086"
"Eric Chitambar","University of Illinois Chicago","USA","P013","One-Shot Distributed Source Simulation: As Quantum as it Can Get","2025","","https://doi.org/10.1109/TIT.2025.3624812"
"Nilanjana Datta","University of Cambridge","UK","P007","Quantum rate distortion, reverse Shannon theorems, and source-channel separation","2013","139","https://doi.org/10.1109/TIT.2012.2212272"
"Nilanjana Datta","University of Cambridge","UK","P008","Quantum-to-classical rate distortion coding","2013","","https://doi.org/10.1063/1.4798396"
"Nilanjana Datta","University of Cambridge","UK","P009","Quantum rate-distortion coding with auxiliary resources","2013","68","https://doi.org/10.1109/TIT.2013.2271772"
"Nilanjana Datta","University of Cambridge","UK","P011","One-shot entanglement-assisted quantum and classical communication","2013","109","https://doi.org/10.1109/TIT.2012.2215575"
"Nilanjana Datta","University of Cambridge","UK","P012","Non-Asymptotic Classical Data Compression with Quantum Side Information","2021","34","https://doi.org/10.1063/1.4798396"
"Nilanjana Datta","University of Cambridge","UK","P016","A smooth entropy approach to quantum hypothesis testing and the classical capacity of quantum channels","2013","","https://doi.org/10.1109/TIT.2013.2282160"
"Igor Devetak","University of Southern California","USA","P001","Entanglement-assisted capacity of quantum multiple-access channels","2008","122","https://doi.org/10.1109/TIT.2008.924726"
"Li Gao","University of Houston","USA","P019","Properties of Noncommutative Renyi and Augustin Information","2022","","https://link.springer.com/article/10.1007/s00220-022-04319-8"
"Ian George","University of Illinois Chicago","USA","P013","One-Shot Distributed Source Simulation: As Quantum as it Can Get","2025","","https://doi.org/10.1109/TIT.2025.3624812"
"Saikat Guha","University of Arizona","USA","P004","Entanglement-assisted capacity regions and protocol designs for quantum multiple-access channels","2021","","https://doi.org/10.1038/s41534-021-00412-3"
"Eric P. Hanson","University of Cambridge","UK","P012","Non-Asymptotic Classical Data Compression with Quantum Side Information","2021","34","https://doi.org/10.1063/1.4798396"
"Masahito Hayashi","Nagoya University","Japan","P020","Universal classical-quantum channel resolvability and private channel coding","2025","",""
"Patrick Hayden","McGill University","Canada","P006","The information-theoretic costs of simulating quantum measurements","2012","","https://doi.org/10.1088/1751-8113/45/45/453001"
